#{"t_start": 1720276167.6470757, "env_id": "None"}
r,l,t
-1.371537,128,1.829524
-1.263971,128,2.537376
-0.2248,128,3.209698
-0.259857,128,3.91047
-4.262212,128,4.677907
-1.379468,128,5.396461
-0.086849,128,6.024699
-0.707441,128,6.786313
-0.928272,128,7.555125
-0.734823,128,8.231884
-1.076473,128,8.934514
-1.019247,128,9.650944
-0.078452,128,10.388011
-1.435655,128,11.168507
-0.548585,128,11.907777
-1.133737,128,12.725893
-0.936553,128,15.617805
-0.859217,128,16.3931
-0.113017,128,17.217235
-0.123081,128,18.130099
-0.054204,128,18.908178
-0.748543,128,19.656638
-1.03329,128,20.480408
-0.850976,128,21.247863
-0.758933,128,22.060075
-0.155548,128,22.809818
-0.819445,128,23.555308
-0.559325,128,24.375892
-0.660652,128,25.104498
-0.818734,128,25.873048
-0.249971,128,26.657873
-0.351963,128,27.468039
-0.404056,128,30.718858
-0.217229,128,31.519187
-0.241673,128,32.419863
-0.597715,128,33.261115
-0.590858,128,34.071131
-1.264216,128,34.941728
-0.422604,128,35.842599
-0.642418,128,36.691349
-0.346272,128,37.60827
-0.298492,128,38.478359
-0.705824,128,39.336235
-0.566768,128,40.182075
-0.408939,128,41.079014
-0.350999,128,41.986618
-0.782371,128,42.789726
-0.844998,128,43.590188
-0.763513,128,46.702096
-0.986223,128,47.460273
-2.555766,128,48.308482
-2.191922,128,49.160287
-2.147876,128,50.019902
-0.140372,128,50.911858
-0.261453,128,51.721244
-1.162648,128,52.653299
-0.981762,128,53.572061
-0.84599,128,54.425076
-0.513394,128,55.252787
-0.673574,128,56.020281
-2.185336,128,56.851043
-0.113752,128,57.630133
-0.199419,128,58.45477
-0.157236,128,59.290929
