r,t,c
-0.0043,3600,900
-0.0013,7200,1800
0.0024,28800,7200
0.0029,417600,104400
0.0030,424800,106200
0.0040,597600,149400
0.0052,604800,151200
0.0053,3902400,975600
0.0062,17686800,4421700
-0.0006,28839440,900
-0.0003,28864640,7200
-0.0000,28868240,8100
0.0012,28871840,9000
0.0019,28879040,10800
0.0021,28911440,18900
0.0025,28922240,21600
0.0032,28965440,32400
0.0043,29066240,57600
0.0045,29282240,111600
0.0059,29494640,164700
0.0063,30927440,522900
0.0063,42260240,3356100
0.0066,44391440,3888900
0.0078,91270640,15608700
0.0088,91274240,15609600
0.0100,91281440,15611400
0.0118,91285040,15612300
-0.0012,133369360,900
-0.0010,133372960,1800
-0.0003,133376560,2700
0.0014,133380160,3600
0.0015,133416160,12600
0.0016,133423360,14400
0.0025,133426960,15300
0.0028,133470160,26100
0.0030,133473760,27000
0.0037,133596160,57600
0.0046,133599760,58500
0.0069,136407760,760500
0.0072,154076560,5177700
